Việt ngữ,Pháp ngữ,Hán ngữ,Giải nghĩa
tự-động-xa,automobile,自動車,Tức là xe « ô-tô » có máy tự chạy được không cần phải người vận-động.
tuệ-quan,"vue perspicace, pénétrante; esprit d'observation",慧觀,"Trông-tinh, nghĩa là những cái người thường coi không ra mà lấy con mắt thông-minh coi thấy; hoặc người thường coi nhầm ra thế khác, mà mình coi thấy được cái chân-tướng nó."
tư-kỷ,"egoïste, égoïstement, par intérêt personnel",私己,Tư ích riêng cho một mình.
từ-lâm,le monde littéraire,詞林,"Rừng văn, ý nói chỗ văn-chương nhiều. Bọn văn-thơ."
tư-lệnh-bộ,etat-major (d'une armée),司令部,Gồm các tướng-tá giữ mệnh-lệnh trong một quân.
tự-lượng,s'estimer,自量,Mình lượng lấy mình.
tu-mi,"barbe et sourcils. par extension : homme, sexe fort",鬚眉,"Dáng người đàn ông, râu mày đẹp đẽ."
tự-ngôn,"paroles préliminaires, avant-propos (d'un livre)",緒言,Mấy lời kể ở trên đầu quyển sách.
tùng-thư,collection d'ouvrages; encyclopédie,叢書,"Bộ sách chép nhiều thứ, nhiều quyển."
tượng-chứng,preuve tangible,象證,Chứng-cớ phát-hiện ra ngoài.
tương-lai,avenir (futur),將來,"Việc sau mới có, thuộc về sau này."
tưởng-lệ,encourager,獎勵,"Khuyên thưởng cho cố gắng, cho tấn tới lên."
tưởng-tượng,"imaginer, imagination",想像,"Suy nghĩ, đặt để ra hình-tượng."
tương-tường tương-tặc,se nuire et s'entretuer,相戕相賊,Cùng giết nhau cùng hại nhau.
tư-pháp,justice; judiciaire; autorité judiciaire; fonctions,司法,"Quan giữ pháp-luật, tức là các quan án cùng các viên-chức về việc án."
tự-phụ,prétentieux,自負,Cậy mình.
từ-sĩ,littérateur,詞士,"Khách văn-chương, người văn thơ hay."
tự-sự,genre narratif,敍事,"Lối văn bầy tỏ sự thực, giãi bầy đầu đuôi công việc ra."
tu-thư-cục,"association des auteurs et écrivains, maison d'édition",修書局,"Sở làm sách, nhà soạn sách vở."
tự-tín,confiance en soi,自信,Tự tin mình.
tự-tình,genre lyrique,敍情,Lối văn chương bầy tỏ tình ý ra.
tự-tôn,se respecter; avoir souci de sa dignité; avoir une trop haute opinion de soi,自尊,Mình giữ cái phẩm giá mình tôn-trọng.
tư-trào,"courant de pensée, mouvement d'idées",思潮,"Cái sóng tư-tưởng, cái luồng tư-tưởng."
tử-trung,"mourir pour son prince, ou pour son pays",死忠,Chết vì nghĩa với vua hay với nước.
tù-trưởng,chef de tribu,酋長,"Người đầu, người tướng một dợ man-di."
tư-tưởng-giới,monde pensant,思想界,Thế-giới những người tư-tưởng ; gồm các nhà triết-học trong một nước.
tửu-lệnh,sorte de jeu où le perdant doit absorber un certain nombre de tasses d'alcool,酒令,"Cách chơi phong-nhã, hoặc ra một bài thơ ai làm chậm không đúng hạn thì phải uống rượu; hoặc lấy câu chữ mà đố nhau cái gì, hoặc ra thơ mà hẹn phải lấy chữ ở trong sách nào mà làm, làm được thì uống rượu, (sự thưởng phạt cũng bằng rượu)"
tựu-lỵ,prendre possession de ses fonctions,就莅,"Đến chỗ làm quan, nhận chức việc."
tử-văn,langue morte,死文,"«Văn chết», tiếng cổ không nói đến, văn cổ không dùng đến nữa."
tuỵ-đạo,galerie souterraine ; tunnel,隧道,"Đường xuyên sơn, đào ngầm để đi dưới đất, dưới núi."
tuyên-ngôn,déclaration (publique),宣言,Lời tuyên bá.
tuyên-thệ,prêter serment,宣誓,Đọc nhời thề.
tuyệt-đích,absolu,絕的,"Cái cao hơn nhất, đến đấy là cùng, không gì đối đãi được."
tuyệt-tác,chef-d'œuvre,絕作,Công việc làm rất khéo.
tuỳ-nghi-châm-chước,agir selon les circonstances,隨宜斟酌,San sẻ tuỳ nghi cho vừa phải.
ức-lượng,"deviner, conjecturer",臆量,"Ức đạc, liệu lượng phỏng chừng."
ức-thuyết,hypothèse ; procéder par hypothèse,臆說,"Ức-lượng, đoán ước mà nói ra, không phải biết thực."
ứng-dụng,"appliquer, mettre en application (une science, une théorie)",應用,Đem dùng ra thực sự. Nói cái lý-thuyết gì đem ra thực-dụng.
ưu-đãi,"traiter avec égard, avec faveur",優待,"Coi trọng, đãi tử-tế."
ưu-điểm,,優點,Phần-tốt hơn cả. Đối với khuyết-điểm là phần xấu.
ưu-thắng liệt-bại,"la victoire du fort, la défaite du faible",優勝劣敗,"Hơn thì được, kém thì thua."
ưu-thắng-liệt-bại,"triomphe des forts, défaite des faibles",優勝劣敗,"Hơn thì thắng, kém thì bại. Thuộc về cái lý-thuyết sinh-tồn-cạnh-tranh (lutte pour la vie)."
uyên-áo,"pensée, idée profonde",淵奧,"Uyên là cái vực sâu ; áo là cái phần sâu nhất ở trong nhà. Chỉ cái nghĩa-lý, ý-vị thâm-trầm."
uyên-tẩu,"repaire; lieu de rassemblement, refuge",淵藪,"Uyên là vực sâu, tẩu là bụi rậm, giống cá hay lặn xuống vực sâu, giống chim hay ẩn ở bụi rậm. Vi như chốn tụ họp đông người, ở đâu cũng dồ xô về đấy."
uỷ-viên,"représentant, fondé de pouvoirs",委員,"Người được một hội, một công-ti uỷ-quyền cho mà biện việc."
uỷ-viên hội,comité,委員會,Hội được quyền của nhiều người uỷ thác cho để thay vì mà xử trí các việc.
vạn nhất,"par hasard, contre toute probabilité",萬一,"Sự muôn phần mới có một phần sẩy ra; sự hoạ là, chẳng may mà có."
vãn-cứu,secourir; sauver de la ruine ou de la décadence,挽救,"Kéo lại, cứu vớt lại, nghĩa bóng là cái gì đã suy-đồi rồi mà lại làm cho thịnh được."
văn-đàn,"cénacle, cercle littéraire; monde littéraire",文壇,"Một bọn văn sĩ cùng họp nhau ngồi một chỗ làm văn thơ, gọi là văn đàn."
vấn-đáp,dialogue,問答,Kẻ hỏi người đáp.
văn-hào,ecrivain célèbre,文豪,Nhà làm văn có danh tiếng.
văn-học-giới,monde littéraire; les lettres,文學界,Trong bọn văn-học.
vãn-hồi,"ramener, retenir ce qui est a demi-tombé; reconstituer ce qui est en décadence",挽回,"Kéo lại, nghĩa bóng là cái gì đã suy-đồi mà cứu-vớt lại trở lên thịnh được."
vận-hội,circonstances (nées du déroulement des temps). par extension: destinée (d'un pays),運會,"Thời thế xoay vần. Theo sách cổ thì 30 năm là một đời (thế); 12 đời là một vận, 30 vận là một hội, 12 hội là một nguyên."
vận-mệnh,destinée,運命,"Vận-hạn số-mệnh người ta ở đời. Nghĩa bóng là cái việc sẩy tới mà không biết trước được, không thể tránh được."
văn-phái,"ecole littéraire, cénacle",文派,Môn phái về văn-chương.
vạn-quốc-trại-hội,exposition internationale,萬國賽會,Hội đấu xảo chung cả các nước.
văn-sĩ,"homme de lettres, écrivain",文士,Nhà văn chương hay chữ.
văn-tự,"la littérature, les lettres",文字,Văn-chương chữ nghĩa.
văn-uyển,jardin littéraire; littérature,文苑,"Nghĩa đen là cái vườn văn, tức là góp các lối văn lại."
vận-văn,"vers, prose rythmée",韻文,"Văn có vần, như thơ phú (đối với văn xuôi)."
văn-vận toàn-suy,la littérature en pleine décadence,文運全衰,Cái vận mệnh của văn học suy đời hết cả.
vật-chất,matière; matériel,物質,"Phàm cái gì có chiếm địa vị trong không gian, giác quan người ta có thể cảm được thì gọi là vật chất. Vật chất đối với tinh thần, là cái phần vô hình vô ảnh."
vật-dục,"instinct, impulsion instinctive; passion mauvaise",物慾,"Sự ham muốn, xui giục bởi cái phần vật-chất trong người ta."
vật-lý-học,physique,物理學,Học về tính-cách các vật-chất cùng cái nhẽ các vật-chất biến động ra làm sao.
vật-thể,corps; corps matériel,物體,Hình thể của vật ; vật có hình-thể.
vật-thể,un corps (tout ce qui occupe une étendue dans l'espace),物體,Hình-thể loài vật.
viêm-nhiệt,"chaud, chaleur torride",炎熱,Nồng-nực.
viên-mãn,"plein, complet, parfait",圓滿,"Đầy-đủ, hoàn-toàn."
viễn-nhân,"cause lointaine, cause originelle (par opposition à cận-nhân: cause immédiate)",遠因,"Cái nguyên nhân xa của một việc gì, đối với cận nhân 近因 là cái nguyên-nhân gần."
vinh-dự,"gloire, honneur",榮譽,Sự vẻ vang danh giá.
vĩnh-quyết,séparation éternelle; suprême adieu,永訣,Lìa nhau không bao giờ gặp mặt nữa.
vĩ-quan,"beau spectacle, spectacle magnifique; solennité",偉觀,"Cảnh đẹp ; cái gì bầy ra mắt trông to nhơn, đẹp đẽ ; cái tiệc to."
vị-thành-niên,"mineur, minorité",未成年,"Tiếng về pháp-luật, chỉ những người chưa đến tuổi thành-nhân, nghĩa là chưa đến 21 tuổi. Nói bóng thì nghĩa là người chưa có đủ tư-cách làm việc gì."
vị-trí,"place, position, condition sociale",位置,Ngôi thứ trong xã-hội.
vô-cô,innocent,無辜,Người không có tội.
vô-cố,"sans motif, sans raison",無故,Không có cớ gì.
vô-dạng,"sans danger, sans mal; indemne",無恙,"Không hề gì, không nguy-hiểm gì, không đau yếu gì."
vô-hình thi-xã,litt. cénacle invisible (lieu où tous s'intéressent à la poésie sans être des poètes de métier),無形詩社,Một cái làng thơ không có hình. Nghĩa là không lập thành một hội để làm thơ mà trong đám ấy ai cũng hay làm thơ cả.
vô-hồn,inanimé; insensible,無魂,"Vật gì không có cảm giác mà suy biết được sự gì, là không có thần hồn."
vong-bản,"litt. oublier la base. se dit de celui qui renie ses origines, le patrimoine moral de ses ancêtres",忘本,"Quên gốc, ý nói kẻ không giữ cái nền nếp của cha ông, kẻ phụ bạc ơn nghĩa người trước."
vọng-tưởng,pensée mauvaise,妄想,Những điều tư tưởng càn dỡ.
vô-thần-chủ-nghĩa,athéisme,無神主義,"Chủ-nghĩa không tin thần, không theo đạo."
võ-trang,armement,武裝,"Gồm các đồ khí giới của tàu chiến, của quân-đội."
vô-tri-vô-giác,"inconscient, insensible",無知無覺,"Loài không có não cân, không cảm giác mà nhận biết được sự gì."
vô-vị,"insignifiant (qui n'a aucune signification). ne pas confondre avec vô-vị 無味: sans saveur, et vô-vị 無位: sans place, sans fonction publique",無謂,"Không có ý nghĩa chi cả, không còn ra cái gì hết, khác nghĩa vô-vị 無味 là không có mùi gì, không thấy vị gì cả, và vô-vị 無位 là kẻ ở chỗ điền-dã không có tước vị chi."
vũ-bị,préparatifs militaires,武備,Phòng bị về việc quân.
vũ-công,"exploit guerrier, mérite militaire",武功,"Công đánh dẹp, công trạng nhà quân."
vũ-đài,la scène du monde,舞臺,"Một cái đài bầy trò múa hát, thế giới ví như cái sàn múa hát của các dân các nước."
vũ-đoán,agir avec brutalité,武斷,Làm sấn sổ theo cách võ.
vũ-lộ,litt. pluie et rosée: faveurs impériales,雨露,"Mưa móc, nghĩa bóng là ơn trên ban xuống như giời đeo mưa móc cho cây cỏ."
vũ-lực,force militaire,武力,Sức mạnh của quân-gia.
vương-bá,souverain puissant,王霸,Bực vua chúa có quyền thế.
vương-hoá,influence bienfaisante d'un souverain,王化,Giáo hoá nhà vua.
vũ-trụ,univers,宇宙,"Gồm cả các vật hữu-hình, vô-hình trong thế-giới."
xã-hội-chủ-nghĩa,"socialisme, socialiste ; marxisme",社會主義,"Chủ-nghĩa của những người vụ sự hạnh-phúc, sự lợi-lộc chung cho cả xã-hội, muốn cho công-lao tài-sản trong xã-hội phân đều cho mọi người, không để cho một bọn người tư-bản có của được sung sướng, còn bọn lao-động thì phải làm ăn khổ sở."
xà-huỷ,présage de la naissance d'une fille,蛇虺,"Con rắn con rết dùng để nói đẻ con gái, vì xưa có người mộng thấy rắn rết sau đẻ con gái."
xâm-lược,"usurper, usurpation",侵略,Xâm lẫn cướp lấy bờ cõi.
xâm-phạm,"usurper, s'emparer",侵犯,Lấn phạm vào của người khác.
xán-lạn,"brillant, étincelant",燦爛,"Rực-rỡ, vẻ-vang, đẹp-đẽ."
xã-thuyết,"article de fond, éditorial",社說,Bài luận thuyết của nhà báo làm ; bài luận đứng đầu quyền báo.
xã-thuyết,article de fond; éditorial,社說,Bài luận-thuyết của nhà báo thường in trên đầu tờ báo.
xa-tưởng,"ambition trop vaste, démesurée",奢想,Tưởng nghĩ những sự viễn-vông cao xa quá.
xa-vọng,ambition illimitée,奢望,Bụng mong muốn vô cùng.
xiết-trửu,"litt. retenir le bras: empêcher tout mouvement, entraver toute liberté d'action",掣肘,"Chặn lấy cánh tay không cho cử động, nghĩa bóng là đè nén không cho thi-thố gì được cả."
xuân-huyên,"litt. l'arbre xuân, la plante huyên: le père et la mère (allusion chinoise)",椿萱,"Cây Xuân cây Huyên, dùng để nói về cha và mẹ. Nguyên điển xưa ông Đậu Vũ-Quân 竇 禹 鈞 đời Tống 宋 sinh được năm người con thành-đạt cả, người đời làm bài thơ khen có câu rằng: « Linh xuân nhất châu lão, đan quế ngũ chi phương, 靈 椿 一 株 老, 丹 桂 五 枝 芳 », nghĩa là ví ông Đậu Vũ-Quân như một cây xuân lớn, có năm cành tốt; nhân thế người đời muốn được như ông ấy nên gọi cha là Xuân. — Còn chữ Huyên là vì trong kinh Thi 詩 có hai câu thơ rằng: « Yên đắc huyên thảo, ngôn thụ chi bối, 焉 得 萱 草, 言 樹 之 背 ». Bối nghĩa là phía bắc nhà, là chỗ mẹ ngồi (Tục Tàu xưa trong một nhà cha ngồi phía nam, mẹ ngồi phía bắc), nhân thế mà mượn chữ huyên gọi mẹ."
xuất-bản,edition; imprimerie,出版,"Nghề in sách, bán sách."
xúc-cảm,toucher (sens du),觸感,"Chạm vào, tiếp-xúc vào mà cảm. Cảm-giác bằng da, bằng tay."
xúc-mục,ce qui frappe les yeux,觸目,Qua mắt mình trông thấy.
